reg;freq;call;program;col
CUB;530;Enciclopedia;Radio Enciclopedia;
CUB;530;Rebelde;Radio Rebelde;
CUB;540;Rebelde;Radio Rebelde;
CUB;550;Rebelde;Radio Rebelde;
CUB;560;Rebelde;Radio Rebelde;
CUB;570;Rebelde;Radio Rebelde;
CUB;570;Reloj;Radio Reloj;
CUB;580;Rebelde;Radio Rebelde;
CUB;590;MusNac;Radio Musical Nacional;
CUB;590;Rebelde;Radio Rebelde;
CUB;600;Rebelde;Radio Rebelde;
CUB;610;Rebelde;Radio Rebelde;
CUB;610;Reloj;Radio Reloj;
CUB;620;Rebelde;Radio Rebelde;
CUB;630;Progreso;Radio Progreso;
CUB;640;Progreso;Radio Progreso;
CUB;650;Progreso;Radio Progreso;
CUB;650;Rebelde;Radio Rebelde;
CUB;660;Progreso;Radio Progreso;
CUB;670;Rebelde;Radio Rebelde;
CUB;690;Progreso;Radio Progreso;
CUB;710;Guama;Radio Guamá;
CUB;710;Rebelde;Radio Rebelde;
CUB;720;Progreso;Radio Progreso;
CUB;730;Progreso;Radio Progreso;
CUB;740;Angulo;Radio Angulo;
CUB;750;CiuDelMar;Radio Ciudad del Mar;
CUB;760;Progreso;Radio Progreso;
CUB;770;Artemisa;Radio Artemisa;
CUB;770;Rebelde;Radio Rebelde;
CUB;790;Reloj;Radio Reloj;
CUB;800;Progreso;Radio Progreso;
CUB;810;Progreso;Radio Progreso;
CUB;820;RCiuHab;Radio Ciudad Habana;
CUB;820;Progreso;Radio Progreso;
CUB;820;Reloj;Radio Reloj;
CUB;840;CMHW;Radio CMHW;
CUB;840;Revolucion;Radio Revolución;
CUB;850;Progreso;Radio Progreso;
CUB;850;Reloj;Radio Reloj;
CUB;860;Reloj;Radio Reloj;
CUB;870;Reloj;Radio Reloj;
CUB;880;Progreso;Radio Progreso;
CUB;890;Progreso;Radio Progreso;
CUB;890;Revolucion;Radio Revolución;
CUB;900;Progreso;Radio Progreso;
CUB;910;CadAgr;Radio Cadena Agramonte;
CUB;910;Metropolitana;Radio Metropolitana;
CUB;920;Progreso;Radio Progreso;
CUB;930;Reloj;Radio Reloj;
CUB;940;Progreso;Radio Progreso;
CUB;950;Reloj;Radio Reloj;
CUB;950;Revolucion;Radio Revolución;
CUB;960;Reloj;Radio Reloj;
CUB;970;Guama;Radio Guamá;
CUB;970;Rebelde;Radio Rebelde;
CUB;980;Coco;Radio Coco;
CUB;980;Reloj;Radio Reloj;
CUB;990;Guama;Radio Guamá;
CUB;1000;Artemisa;Radio Artemisa;
CUB;1000;Granma;Radio Granma;
CUB;1020;Artemisa;Radio Artemisa;
CUB;1020;Guama;Radio Guamá;
CUB;1020;TriAnti;Radio Trinchera Antiimperialista;
CUB;1040;Mayabeque;Radio Mayabeque;
CUB;1050;Guama;Radio Guamá;
CUB;1050;Victoria;Radio Victoria;
CUB;1060;CMGW;CMGW Radio 26;
CUB;1070;Guama;Radio Guamá;
CUB;1070;TriAnti;Radio Trinchera Antiimperialista;
CUB;1080;CadHab;Radio Cadena Habana;
CUB;1080;Surco;Radio Surco;
CUB;1090;Victoria;Radio Victoria;
CUB;1100;Angulo;Radio Angulo;
CUB;1110;Angulo;Radio Angulo;
CUB;1140;Bayamo;Radio Bayamo;
CUB;1140;Camaguey;Radio Camagüey;
CUB;1140;CiuBan;Radio Ciudad Bandera;
CUB;1140;CiuDelMar;Radio Ciudad del Mar;
CUB;1140;Mayabeque;Radio Mayabeque;
CUB;1140;MusNac;Radio Musical Nacional;
CUB;1140;Rebelde;Radio Rebelde;
CUB;1140;Surco;Radio Surco;
CUB;1150;Bayamo;Radio Bayamo;
CUB;1160;Bayamo;Radio Bayamo;
CUB;1170;TriAnti;Radio Trinchera Antiimperialista;
CUB;1180;Baracoa;Radio Baracoa;
CUB;1180;Guama;Radio Guamá;
CUB;1180;Rebelde;Radio Rebelde;
CUB;1190;Coral/Rev;Radio Coral/Radio Revolución;
CUB;1190;SanSpi;Radio Sancti Spíritus;
CUB;1200;SanSpi;Radio Sancti Spíritus;
CUB;1210;Reloj;Radio Reloj;
CUB;1210;SanSpi;Radio Sancti Spíritus;
CUB;1220;Caribe;Radio Caribe;
CUB;1230;Progreso;Radio Progreso;
CUB;1250;TriAnti;Radio Trinchera Antiimperialista;
CUB;1260;Progreso;Radio Progreso;
CUB;1280;Mambi;Radio Mambí;
CUB;1280;Trinidad;Radio Trinidad;
CUB;1300;Titan;Radio Titán;
CUB;1310;Enciclopedia;Radio Enciclopedia;
CUB;1320;CMGW;CMGW Radio 26;
CUB;1320;EcoSag;Ecos de Sagua;
CUB;1320;Artemisa;Radio Artemisa;
CUB;1340;CiuDelMar;Radio Ciudad del Mar;
CUB;1350;CiuDelMar;Radio Ciudad del Mar;
CUB;1350;Libertad;Radio Libertad;
CUB;1370;Playita;Radio Playita;
CUB;1380;Angulo;Radio Angulo;
CUB;1400;Sagua;Radio Sagua;
CUB;1450;Maboas;Radio Maboas;
CUB;1450;Mayabeque;Radio Mayabeque;
CUB;1460;R8SF;Radio 8SF;
CUB;1470;Chaparra;Radio Chaparra;
CUB;1490;Mayari;Radio Mayarí;
CUB;1520;Baragua;Radio Baraguá;
CUB;1550;LaVozYag;La Voz de Yaguajay;
CUB;1550;Guaimaro;Radio Guáimaro;
CUB;1550;Progreso;Radio Progreso;
CUB;1550;Rebelde;Radio Rebelde;
CUB;1620;Bayamo;Radio Bayamo;
CUB;1620;Rebelde;Radio Rebelde;
